Filename,x1,x2,x3,x4,y1,y2,y3,y4
281628421_20204142_Feet_L_S_2_Full_BlackSphere_crop.pdf,41,103,202,137,153,69,141,226
281628421_20204142_Feet_L_S_3_Full_BlackSphere_crop.pdf,115,183,63,24,197,98,38,147
281628421_20204142_Feet_R_S_0_Full_BlackSphere_crop.pdf,89,71,227,228,194,87,62,174
281628421_20204142_Feet_R_S_1_Full_BlackSphere_crop.pdf,188,207,45,49,200,87,84,179
281628421_20204142_Feet_R_S_2_Full_BlackSphere_crop.pdf,51,42,195,198,184,82,77,162
281628421_20204142_Feet_R_S_3_Full_BlackSphere_crop.pdf,234,227,85,95,185,77,85,195
973565404_20207296_Feet_L_S_0_Full_BlackSphere_crop.pdf,77,50,187,218,223,93,74,190
973565404_20207296_Feet_L_S_1_Full_BlackSphere_crop.pdf,216,177,40,68,176,53,83,197
973565404_20207296_Feet_L_S_2_Full_BlackSphere_crop.pdf,60,67,178,214,201,71,69,186
973565404_20207296_Feet_L_S_3_Full_BlackSphere_crop.pdf,208,185,64,47,186,65,60,181
973565404_20207296_Feet_R_S_0_Full_BlackSphere_crop.pdf,62,196,200,68,209,201,81,68
973565404_20207296_Feet_R_S_1_Full_BlackSphere_crop.pdf,83,88,218,243,85,209,216,102
973565404_20207296_Feet_R_S_2_Full_BlackSphere_crop.pdf,185,183,45,45,62,186,193,61
973565404_20207296_Feet_R_S_3_Full_BlackSphere_crop.pdf,77,214,206,55,60,80,195,186
844276295_20207453_Feet_L_S_0_Full_BlackSphere_crop.pdf,53,66,207,199,187,58,79,197
844276295_20207453_Feet_L_S_1_Full_BlackSphere_crop.pdf,197,191,61,37,188,71,58,172
844276295_20207453_Feet_L_S_2_Full_BlackSphere_crop.pdf,39,47,174,195,194,63,69,193
844276295_20207453_Feet_L_S_3_Full_BlackSphere_crop.pdf,71,77,224,215,213,64,95,215
844276295_20207453_Feet_R_S_0_Full_BlackSphere_crop.pdf,178,196,83,65,165,70,49,152
844276295_20207453_Feet_R_S_1_Full_BlackSphere_crop.pdf,56,87,194,182,167,57,91,171
844276295_20207453_Feet_R_S_2_Full_BlackSphere_crop.pdf,150,165,45,27,177,85,69,161
844276295_20207453_Feet_R_S_3_Full_BlackSphere_crop.pdf,46,61,180,162,159,55,82,171
990523734_20207185_Feet_L_S_0_Full_BlackSphere_crop.pdf,191,211,70,30,224,86,50,172
990523734_20207185_Feet_L_S_1_Full_BlackSphere_crop.pdf,52,121,239,175,195,66,132,255
990523734_20207185_Feet_L_S_2_Full_BlackSphere_crop.pdf,174,230,104,48,245,104,58,181
990523734_20207185_Feet_L_S_3_Full_BlackSphere_crop.pdf,66,91,224,221,188,59,71,216
990523734_20207185_Feet_R_S_0_Full_BlackSphere_crop.pdf,177,64,81,216,229,190,67,91
990523734_20207185_Feet_R_S_1_Full_BlackSphere_crop.pdf,242,200,70,113,86,220,160,54
990523734_20207185_Feet_R_S_2_Full_BlackSphere_crop.pdf,78,83,206,230,64,191,210,79
990523734_20207185_Feet_R_S_3_Full_BlackSphere_crop.pdf,216,189,62,72,88,214,188,70
546503158_20206991_Feet_L_S_0_Full_BlackSphere_crop.pdf,63,47,209,229,67,215,246,92
546503158_20206991_Feet_L_S_1_Full_BlackSphere_crop.pdf,39,161,246,124,164,241,123,45
546503158_20206991_Feet_L_S_2_Full_BlackSphere_crop.pdf,126,61,215,257,55,189,250,108
546503158_20206991_Feet_L_S_3_Full_BlackSphere_crop.pdf,241,201,60,74,120,256,226,79
546503158_20206991_Feet_R_S_0_Full_BlackSphere_crop.pdf,78,68,215,223,58,193,196,71
546503158_20206991_Feet_R_S_1_Full_BlackSphere_crop.pdf,226,220,78,77,81,215,227,81
546503158_20206991_Feet_R_S_2_Full_BlackSphere_crop.pdf,57,63,213,204,82,216,202,71
546503158_20206991_Feet_R_S_3_Full_BlackSphere_crop.pdf,216,256,142,66,69,194,269,136
553661824_20209529_Feet_L_S_0_Full_BlackSphere_crop.pdf,45,133,224,146,134,239,159,66
553661824_20209529_Feet_L_S_1_Full_BlackSphere_crop.pdf,172,260,165,79,58,148,235,143
553661824_20209529_Feet_L_S_2_Full_BlackSphere_crop.pdf,77,52,175,208,221,99,75,187
553661824_20209529_Feet_L_S_3_Full_BlackSphere_crop.pdf,196,167,48,45,167,46,70,169
553661824_20209529_Feet_R_S_0_Full_BlackSphere_crop.pdf,61,64,208,199,179,60,81,178
553661824_20209529_Feet_R_S_1_Full_BlackSphere_crop.pdf,80,71,211,205,191,65,80,180
553661824_20209529_Feet_R_S_2_Full_BlackSphere_crop.pdf,207,215,83,62,192,90,74,178
553661824_20209529_Feet_R_S_3_Full_BlackSphere_crop.pdf,59,62,188,204,202,92,84,191
879885247_20204249_Feet_L_S_0_Full_BlackSphere_crop.pdf,212,213,74,51,207,78,59,167
879885247_20204249_Feet_L_S_1_Full_BlackSphere_crop.pdf,47,69,200,183,156,54,76,200
879885247_20204249_Feet_L_S_2_Full_BlackSphere_crop.pdf,139,224,144,49,227,148,51,119
879885247_20204249_Feet_L_S_3_Full_BlackSphere_crop.pdf,41,152,219,135,160,216,131,40
879885247_20204249_Feet_R_S_0_Full_BlackSphere_crop.pdf,96,62,165,234,56,172,210,113
879885247_20204249_Feet_R_S_1_Full_BlackSphere_crop.pdf,225,124,47,134,114,218,109,34
879885247_20204249_Feet_R_S_2_Full_BlackSphere_crop.pdf,47,83,223,175,101,216,162,61
879885247_20204249_Feet_R_S_3_Full_BlackSphere_crop.pdf,194,222,105,60,76,198,247,115
051331512_20208683_Feet_L_S_0_Full_BlackSphere_crop.pdf,49,94,220,158,101,218,151,57
051331512_20208683_Feet_L_S_1_Full_BlackSphere_crop.pdf,158,48,161,218,57,119,219,136
051331512_20208683_Feet_L_S_2_Full_BlackSphere_crop.pdf,218,133,37,100,140,44,121,221
051331512_20208683_Feet_L_S_3_Full_BlackSphere_crop.pdf,88,36,174,188,216,92,69,179
051331512_20208683_Feet_R_S_0_Full_BlackSphere_crop.pdf,197,185,66,72,165,55,65,179
051331512_20208683_Feet_R_S_1_Full_BlackSphere_crop.pdf,64,103,221,161,185,75,114,232
051331512_20208683_Feet_R_S_2_Full_BlackSphere_crop.pdf,144,44,93,199,216,134,46,108
051331512_20208683_Feet_R_S_3_Full_BlackSphere_crop.pdf,204,110,40,120,120,50,158,218
575614042_20201267_Feet_L_S_0_Full_BlackSphere_crop.pdf,115,204,119,31,211,130,36,121
575614042_20201267_Feet_L_S_1_Full_BlackSphere_crop.pdf,67,144,239,163,134,232,150,46
575614042_20201267_Feet_L_S_2_Full_BlackSphere_crop.pdf,124,206,115,29,64,147,236,135
575614042_20201267_Feet_L_S_3_Full_BlackSphere_crop.pdf,148,228,151,54,210,126,36,118
575614042_20201267_Feet_R_S_0_Full_BlackSphere_crop.pdf,39,138,229,134,141,235,144,51
575614042_20201267_Feet_R_S_1_Full_BlackSphere_crop.pdf,43,128,231,135,123,217,123,38
575614042_20201267_Feet_R_S_2_Full_BlackSphere_crop.pdf,126,38,129,221,50,143,231,141
575614042_20201267_Feet_R_S_3_Full_BlackSphere_crop.pdf,251,158,68,163,127,224,129,42
873721498_20203468_Feet_L_S_0_Full_BlackSphere_crop.pdf,121,208,127,26,198,119,39,110
873721498_20203468_Feet_L_S_1_Full_BlackSphere_crop.pdf,26,114,204,118,118,213,129,38
873721498_20203468_Feet_L_S_2_Full_BlackSphere_crop.pdf,128,220,133,42,213,120,33,114
873721498_20203468_Feet_L_S_3_Full_BlackSphere_crop.pdf,125,215,133,38,221,141,43,124
873721498_20203468_Feet_R_S_0_Full_BlackSphere_crop.pdf,39,105,209,129,128,222,131,54
873721498_20203468_Feet_R_S_1_Full_BlackSphere_crop.pdf,221,141,48,138,137,231,136,59
873721498_20203468_Feet_R_S_2_Full_BlackSphere_crop.pdf,201,157,49,65,121,217,182,81
873721498_20203468_Feet_R_S_3_Full_BlackSphere_crop.pdf,71,52,170,201,84,187,222,108
888733570_20203468_Feet_L_S_0_Full_BlackSphere_crop.pdf,185,200,69,62,74,189,204,89
888733570_20203468_Feet_L_S_1_Full_BlackSphere_crop.pdf,114,197,112,27,224,144,57,130
888733570_20203468_Feet_L_S_2_Full_BlackSphere_crop.pdf,26,115,197,116,128,215,133,47
888733570_20203468_Feet_L_S_3_Full_BlackSphere_crop.pdf,136,220,135,41,62,156,245,151
888733570_20203468_Feet_R_S_0_Full_BlackSphere_crop.pdf,52,131,218,133,116,36,125,210
888733570_20203468_Feet_R_S_1_Full_BlackSphere_crop.pdf,88,23,114,187,193,92,29,130
888733570_20203468_Feet_R_S_2_Full_BlackSphere_crop.pdf,203,118,29,94,130,38,124,210
888733570_20203468_Feet_R_S_3_Full_BlackSphere_crop.pdf,107,62,182,210,212,96,69,183
470536085_20204763_Feet_L_S_0_Full_BlackSphere_crop.pdf,142,200,95,28,221,127,44,136
470536085_20204763_Feet_L_S_1_Full_BlackSphere_crop.pdf,46,135,213,136,119,213,118,45
470536085_20204763_Feet_L_S_2_Full_BlackSphere_crop.pdf,122,34,131,207,53,132,222,134
470536085_20204763_Feet_L_S_3_Full_BlackSphere_crop.pdf,196,186,66,55,87,194,200,80
470536085_20204763_Feet_R_S_0_Full_BlackSphere_crop.pdf,170,190,74,54,196,113,67,175
470536085_20204763_Feet_R_S_1_Full_BlackSphere_crop.pdf,82,59,188,192,197,88,86,178
470536085_20204763_Feet_R_S_2_Full_BlackSphere_crop.pdf,181,181,48,57,178,84,87,182
470536085_20204763_Feet_R_S_3_Full_BlackSphere_crop.pdf,58,60,173,178,193,85,82,185
420485987_20204763_Feet_L_S_0_Full_BlackSphere_crop.pdf,186,193,59,52,199,90,79,191
420485987_20204763_Feet_L_S_1_Full_BlackSphere_crop.pdf,72,60,182,193,194,66,55,180
420485987_20204763_Feet_L_S_2_Full_BlackSphere_crop.pdf,198,195,69,57,204,73,71,189
420485987_20204763_Feet_L_S_3_Full_BlackSphere_crop.pdf,55,73,197,191,201,77,95,214
420485987_20204763_Feet_R_S_0_Full_BlackSphere_crop.pdf,188,181,70,67,168,62,59,173
420485987_20204763_Feet_R_S_1_Full_BlackSphere_crop.pdf,57,177,174,62,193,187,79,72
420485987_20204763_Feet_R_S_2_Full_BlackSphere_crop.pdf,50,53,177,166,69,172,170,62
420485987_20204763_Feet_R_S_3_Full_BlackSphere_crop.pdf,166,180,80,40,62,152,184,74
126087954_20200360_Feet_L_S_0_Full_BlackSphere_crop.pdf,47,54,175,179,76,177,183,74
126087954_20200360_Feet_L_S_1_Full_BlackSphere_crop.pdf,151,174,65,52,189,75,58,162
126087954_20200360_Feet_L_S_2_Full_BlackSphere_crop.pdf,64,82,198,187,171,65,87,180
126087954_20200360_Feet_L_S_3_Full_BlackSphere_crop.pdf,171,177,61,48,187,87,68,179
126087954_20200360_Feet_R_S_0_Full_BlackSphere_crop.pdf,48,47,154,185,179,69,54,158
126087954_20200360_Feet_R_S_1_Full_BlackSphere_crop.pdf,204,197,67,56,188,70,68,182
126087954_20200360_Feet_R_S_2_Full_BlackSphere_crop.pdf,56,52,187,178,183,58,87,164
126087954_20200360_Feet_R_S_3_Full_BlackSphere_crop.pdf,197,190,63,61,171,63,57,172
642679764_20200360_Feet_L_S_0_Full_BlackSphere_crop.pdf,61,60,195,185,189,60,82,196
642679764_20200360_Feet_L_S_1_Full_BlackSphere_crop.pdf,189,199,53,46,208,95,69,191
642679764_20200360_Feet_L_S_2_Full_BlackSphere_crop.pdf,56,67,203,197,222,97,113,240
642679764_20200360_Feet_L_S_3_Full_BlackSphere_crop.pdf,196,190,56,52,212,81,75,193
642679764_20200360_Feet_R_S_0_Full_BlackSphere_crop.pdf,42,171,175,51,184,185,70,49
642679764_20200360_Feet_R_S_1_Full_BlackSphere_crop.pdf,57,54,179,203,53,186,192,77
642679764_20200360_Feet_R_S_2_Full_BlackSphere_crop.pdf,202,187,64,47,79,192,195,71
642679764_20200360_Feet_R_S_3_Full_BlackSphere_crop.pdf,49,189,204,62,180,188,75,55
